시설종류,순번,장사시설명,품목분류,품목,규격,금액
묘지,29,(재)우성공원묘원,사용료,종교 봉안당 사용료,개인 1~9단 평균,3280000
묘지,30,(재)우성공원묘원,관리비,VVIP/VIP 봉안당 관리비,개인,50000
묘지,31,(재)우성공원묘원,관리비,VVIP/VIP 봉안당 관리비,부부,90000
묘지,32,(재)우성공원묘원,관리비,일반 봉안당 관리비,개인,40000
묘지,33,(재)우성공원묘원,관리비,일반 봉안당 관리비,부부,80000
묘지,34,(재)우성공원묘원,사용료,묘지사용료,1m2 당(2022년 기준),1150000
묘지,35,(재)우성공원묘원,관리비,연간관리비,1m2당(2022년 기준),14500
묘지,36,(재)화산추모공원(묘지),사용료,단장묘(6평형) 사용료,19.8㎡,5270000
묘지,37,(재)화산추모공원(묘지),관리비,단장묘(6평형) 관리비,19.8㎡,1730000
묘지,38,(재)화산추모공원(묘지),기타,단장묘(6평형) 매장비,19.8㎡,350000
묘지,39,(재)화산추모공원(묘지),사용료,합장묘(9평형) 사용료,29.7㎡,7900000
묘지,40,(재)화산추모공원(묘지),관리비,합장묘(9평형) 관리비,29.7㎡,2600000
묘지,41,(재)화산추모공원(묘지),기타,합장묘(9평형) 매장비,29.7㎡,550000
묘지,42,(재)화산추모공원(묘지),사용료,봉안묘6기(3평형) 사용료,9.9㎡,2630000
묘지,43,(재)화산추모공원(묘지),관리비,봉안묘6기(3평형) 관리비,9.9㎡,860000
묘지,44,(재)화산추모공원(묘지),사용료,봉안묘12기(4.5평형)사용료,14.8㎡,3950000
묘지,45,(재)화산추모공원(묘지),관리비,봉안묘12기(4.5평형)관리비,14.8㎡,1300000
묘지,46,(재)화산추모공원(묘지),기타,봉안묘12기(4.5평형)봉안비,14.8㎡,220000
묘지,47,(재)화산추모공원(묘지),사용료,봉안묘24기(6평형)사용료,19.8㎡,5270000
묘지,48,(재)화산추모공원(묘지),관리비,봉안묘24기(6평형)관리비,19.8㎡,1730000
묘지,49,(재)화산추모공원(묘지),기타,봉안묘24기(6평형)봉안비,19.8㎡,220000
묘지,50,(재)화산추모공원(묘지),사용료,봉안묘36기(9평형)사용료,29.7㎡,7900000
묘지,51,(재)화산추모공원(묘지),관리비,봉안묘36기(9평형)관리비,29.7㎡,2600000
묘지,52,(재)화산추모공원(묘지),기타,봉안묘36기(9평형)봉안비,29.7㎡,220000
묘지,53,(재)화산추모공원(묘지),사용료,봉안묘60기(15평형)사용료,49.5㎡,13180000
묘지,54,(재)화산추모공원(묘지),관리비,봉안묘60기(15평형)관리비,49.5㎡,4340000
묘지,55,(재)화산추모공원(묘지),기타,봉안묘60기(15평형)봉안비,49.5㎡,220000
묘지,56,(재)화신공원묘원,사용료,A형 매장묘(구 4평형)-사용료,"공원조성비,석축및조경비,법인운영비 포함",1800000
묘지,57,(재)화신공원묘원,사용료,B형 매장묘(구 6평형)-사용료,"공원조성비,석축및조경비,법인운영비 포함",2700000
묘지,58,(재)화신공원묘원,사용료,C형 매장묘(구 8평형)-사용료,"공원조성비,석축및조경비,법인운영비 포함",3600000
묘지,59,(재)화신공원묘원,관리비,A형 (구 4평형)-관리비,"10년기준, 제초비 10년분(330000)포함-제초비는 매장일부터 적용",660000
묘지,60,(재)화신공원묘원,관리비,B형 (구 6평형)-관리비,"10년기준, 제초비 10년분(330000)포함-제초비는 매장일부터 적용",770000
묘지,61,(재)화신공원묘원,관리비,C형 (구 8평형)-관리비,"10년기준, 제초비 10년분(330000)포함-제초비는 매장일부터 적용",880000
묘지,62,(재)화신공원묘원,관리비,평장형납골묘-관리비,15년기준(1년 33000),495000
묘지,63,(재)화신공원묘원,관리비,개방형납골묘(18기형)-관리비,10년 기준(1년 72000),720000
묘지,64,(재)화신공원묘원,관리비,개방형납골묘(24기형)-관리비,10년 기준(1년 96000),960000
묘지,65,(재)화신공원묘원,기타,A형 매장묘(구 4평형) 분양금액,"사용료,관리비10년(제초비포함),용역비, 석물비용 포함.(합장사용시 100만원 추가)",4800000
묘지,66,(재)화신공원묘원,기타,B형 매장묘(구 6평형) 분양금액,"사용료,관리비10년(제초비포함),용역비, 석물비용 포함.(합장사용시 100만원 추가)",6800000
묘지,67,(재)화신공원묘원,기타,C형 매장묘(구 8평형) 분양금액,"사용료,관리비10년(제초비포함),용역비, 석물비용 포함.(합장사용시 100만원 추가)",8500000
묘지,68,(재)화신공원묘원,기타,D형 매장묘(구 8평형 특수묘) 분양금액,"사용료,관리비10년(제초비포함),용역비, 석물비용 포함.(합장사용시 100만원 추가)",13500000
묘지,69,(재)화신공원묘원,기타,평장형봉안묘,"사용료,15년관리비,봉안석물포함(합장시 100만원추가)",2700000
묘지,70,(재)화신공원묘원,기타,부부형봉안묘(A형-구4평형),"사용료, 10년관리비,봉안석물포함. 평형변경시 비용추가.",5000000
묘지,71,(재)화신공원묘원,기타,10기형 봉안묘(A형-구4평형),"사용료, 10년관리비,봉안석물포함. (평형 및 기수변경 가능)",8000000
묘지,72,(재)화신공원묘원,기타,개방형 봉안묘(18기형),"사용료, 10년관리비,봉안석물포함. ",13000000
묘지,73,(재)화신공원묘원,기타,개방형 봉안묘(24기형),"사용료, 10년관리비,봉안석물포함. ",16000000
묘지,74,(재)화신공원묘원,기타,24기형 봉안묘(구 16평형),"사용료, 10년관리비,봉안석물포함.",25000000
묘지,75,매화공원묘지,사용료,사용료(단장),15년,70000
묘지,76,매화공원묘지,기타,매장비(단장),15년,158900
묘지,77,매화공원묘지,관리비,관리비(단장),15년,153750
묘지,78,매화공원묘지,사용료,사용료(합장),15년,105000
묘지,79,매화공원묘지,기타,매장비(합장),15년,198620
묘지,80,매화공원묘지,관리비,관리비(합장),15년,208200
묘지,81,가북공설공원묘지,사용료,공설공원묘지 사용료,이용자격:해당면 주민 사용기간:15년,300000
묘지,82,가북공설공원묘지,관리비,공설공원묘지 관리,이용자격:해당면 주민 사용기간:15년,200000
묘지,83,가조공설공원묘지,사용료,사용료,15년간,300000
묘지,84,가조공설공원묘지,관리비,관리비,15년간,200000
묘지,85,가평읍 제1공설묘지,사용료,1기당,사용료 12만5천원 관리비(연간) 8만원,205000
묘지,86,갑향군립묘원(묘지),사용료,군립묘원 사용료,"묘지 1기(10m2), 30년",1900000
묘지,87,갑향군립묘원(묘지),관리비,군립묘원 관리비,"묘지 1기(10m2), 30년",600000
묘지,88,거창공설공원묘지,사용료,공설공원묘지 사용료,이용자격:해당읍 주민 사용기간:15년,300000
묘지,89,거창공설공원묘지,관리비,공설공원묘지 관리비,이용자격:해당읍 주민 사용기간:15년,200000
묘지,90,(재)경맥백합공원,사용료,묘지사용료,1 m2 당  ,303000
묘지,91,(재)경맥백합공원,관리비,관리비,1 m2 당,4500
묘지,92,고능리공동묘지,사용료,공설묘지 사용료,*강화군민만 이용가능/사용료:15000원 관리비:15000원,30000
묘지,93,장기공설공원묘원,사용료,묘지 사용료,1기당 기준명적 (6.6㎡) / 15년,400000
묘지,94,장기공설공원묘원,관리비,묘지 관리비,1기당 기준명적 (6.6㎡) / 15년,150000
묘지,95,고성군공설묘지,사용료,일반분묘 사용료(단장),15년간,447870
묘지,96,고성군공설묘지,관리비,일반분묘 관리비(단장),15년간,360000
묘지,97,고성군공설묘지,사용료,일반분묘 사용료(합장),15년간,746460
묘지,98,고성군공설묘지,관리비,일반분묘 관리비(합장),15년간,600000
묘지,99,고성군공설묘지,사용료,봉안분묘 사용료,1.65㎡ (1.5 x 1.1),74640
묘지,100,고성군공설묘지,관리비,봉안분묘 관리비,1.65㎡ (1.5 x 1.1),60000
묘지,101,고제공설공원묘지,사용료,묘지 사용료,이용자격:해당면 주민 사용기간:15년,100000
묘지,102,고제공설공원묘지,관리비,묘지 관리비,이용자격:해당면 주민 사용기간:15년,100000
묘지,103,고천리공설묘지,사용료,공설묘지 사용료,*강화군민만 이용가능/사용료:15000원 관리비:15000원,30000
묘지,104,공산면공설묘지,사용료,공설묘지 사용료,이용자격:나주시민 사용기간:15년 사용료:3.3m2당 1만원,10000
묘지,105,대구시립공원묘지,사용료,공설묘지 사용료,"1기당, 30년(1회 15년 연장가능)",360000
묘지,106,대구시립공원묘지,관리비,공설묘지 관리비,"1기당, 30년(1회 15년 연장가능)",300000
묘지,107,대구시립공원묘지,사용료,봉안평장묘,"1기당, 30년",600000
묘지,108,대구시립공원묘지,사용료,합장묘,"1기당, 30년",990000
묘지,109,관인면공설묘지,사용료,공설묘지 사용료,"이용자격: 사망 당시에 주민등록상 포천시에 주소를 두고 6개월 이상 거주한 시민, 사용기간:15년  3회연장가능",40000
묘지,110,관인면공설묘지,관리비,공설묘지 관리비,"이용자격: 사망 당시 포천시에 주소를 두고 6개월 이상 거주한 자, 사용기간:15년  3회연장가능",50000
묘지,111,광주공원묘원,사용료,매장묘  봉안묘,묘지사용료 (3.3 m2),1895100
묘지,112,광주공원묘원,관리비,묘지관리비,1년간 관리비 (3.3m2),15400
묘지,113,광주공원묘원,기타,단장묘,"1단미니묘테,60cm비석,60cm화강상석  화병",2156000
묘지,114,광주공원묘원,기타,단장묘,"1단 1.1*2.1묘테,60cm비석,60cm화강상석, 화병",2304500
묘지,115,광주공원묘원,기타,합장묘,"각묘테-중,90cm갓비석, 75cm화강상석,화병",4474800
묘지,116,광주공원묘원,기타,합장묘,"각묘테-대,90cm갓비석,75cm화강상석,화병",4990700
묘지,117,광주공원묘원,기타,합장묘,"각묘테-특,90cm갓비석,90cm화강상석,화병",7200600
묘지,118,광주공원묘원,기타,봉안묘 2인,"봉안2인, 60cm피아노비석,60cm화강상석,화병",4032600
묘지,119,광주공원묘원,기타,봉안묘4인,"봉안4인,75cm화강비석,75cm화강상석,화병",6103900
묘지,120,광주공원묘원,기타,봉안6인,"봉안6인,75cm화강비석,75cm화강상석,화병",7604300
묘지,121,교산리공설묘지(저수지),사용료,공설묘지 사용료,"이용자격 : 강화군민, 15년",15000
묘지,122,교산리공설묘지(저수지),관리비,공설묘지 관리비,"이용자격 : 강화군민, 15년",15000
묘지,123,교산리공설묘지(별립산),사용료,공설묘지 사용료,*강화군민만 이용가능/사용료:15000원 관리비:15000원,30000
묘지,124,구례군공설묘지,사용료,공설묘지 사용료,1기당 10m2/15년,200000
묘지,125,구리시공설묘지,사용료,공설묘지 사용료,"1기당 6.6m2 , 15년",120000
묘지,126,구리시공설묘지,관리비,공설묘지 관리비,"1기당 6.6m2 , 15년",80000
묘지,127,구좌읍공설묘지,사용료,공설묘지 사용료 ,이용자격:제주도민 사용기간:15년 3회연장가능,200000
묘지,128,(재)자하연 일산(묘지),사용료,"매장묘, 봉안묘",사용료(평당),1950000
묘지,129,(재)자하연 일산(묘지),관리비,"매장묘, 봉안묘",1년 관리비(평당),27000
묘지,130,(재)자하연 일산(묘지),사용료,평장 2기 자연장,"사용료(3,900,000원,5년관리비270,000원)",12500000
묘지,131,(재)자하연 일산(묘지),사용료,평장 4기 자연장 (서향),"사용료(4,875,000원,5년관리비337,500원)",18000000
묘지,132,(재)자하연 일산(묘지),사용료,평장 4기 자연장 (동향),"사용료(4,875,000원,5년관리비337,500원)",17000000
묘지,133,(재)자하연 일산(묘지),사용료,봉안 2기 탑형,"사용료(5,850,000원,5년관리비405,000원)",13500000
묘지,134,(재)자하연 일산(묘지),사용료,봉안 2기 탑형,"사용료(5,850,000원,5년관리비405,000원)",15500000
묘지,135,(재)자하연 일산(묘지),사용료,봉안 4기 탑형,"사용료(5,850,000원,5년관리비405,000원)",15500000
묘지,136,(재)자하연 일산(묘지),사용료,봉안 4기 탑형,"사용료(5,850,000원,5년관리비405,000원)",17500000
묘지,137,(재)자하연 일산(묘지),사용료,평장 6기 자연장 (남향),"사용료(5,850,000원,5년관리비405,000원)",26500000
묘지,138,(재)자하연 일산(묘지),사용료,평장 6기 자연장 (북향),"사용료(5,850,000원,5년관리비405,000원)",22500000
묘지,139,(재)자하연 일산(묘지),사용료,봉안6위(자연장),"사용료(7,800,000원,5년관리비540,000원)",20000000
묘지,140,(재)자하연 일산(묘지),사용료,봉안8위,"사용료(9,750,000원,5년관리비675,000원)",27500000
묘지,141,(재)자하연 일산(묘지),사용료,봉안12위,"사용료(11,700,000원,5년관리비810,000원)",32500000
묘지,142,(재)자하연 일산(묘지),사용료,봉안담 개인단(1단),"사용료(150만원,5년관리비12만원)",2000000
묘지,143,(재)자하연 일산(묘지),사용료,봉안담 개인단(2단),"사용료(150만원,5년관리비12만원)",3500000
묘지,144,(재)자하연 일산(묘지),사용료,봉안담 개인단(3단),"사용료(150만원,5년관리비12만원)",4000000
묘지,145,(재)자하연 일산(묘지),사용료,봉안담 개인단(4단),"사용료(150만원,5년관리비12만원)",4000000
묘지,146,(재)자하연 일산(묘지),사용료,봉안담 개인단(5단),"사용료(150만원,5년관리비12만원)",3500000
묘지,147,(재)자하연 일산(묘지),사용료,봉안담 개인단(6단),"사용료(130만원,5년관리비12만원)",1500000
묘지,148,(재)자하연 일산(묘지),사용료,봉안담 부부단(1단),"사용료(150만원,5년관리비24만원)",3500000
묘지,149,(재)자하연 일산(묘지),사용료,봉안담 부부단(2단),"사용료(150만원,5년관리비24만원)",5000000
묘지,150,(재)자하연 일산(묘지),사용료,봉안담 부부단(3단),"사용료(150만원,5년관리비24만원)",6500000
묘지,151,(재)자하연 일산(묘지),사용료,봉안담 부부단(4단),"사용료(150만원,5년관리비24만원)",6500000
묘지,152,(재)자하연 일산(묘지),사용료,봉안담 부부단(5단),"사용료(150만원,5년관리비24만원)",5000000
묘지,153,(재)자하연 일산(묘지),사용료,봉안담 부부단(6단),"사용료(150만원,5년관리비24만원)",2500000
묘지,154,(재)자하연 일산(묘지),사용료,매장묘(합장),"사용료(13,650,000원,5년관리비945,000원)",37000000
묘지,155,(재)자하연 일산(묘지),사용료,봉안16위,"사용료(13,650,000원,5년관리비945,000원)",36000000
묘지,156,(재)자하연 일산(묘지),사용료,평장 2기 자연장,"사용료(3,900,000원,5년관리비270,000원)",13500000
묘지,157,(재)자하연 일산(묘지),사용료,봉안 4기 탑형,"사용료(5,850,000원,5년관리비405,000원)",18500000
묘지,158,국화리공설묘지,사용료,공설묘지 사용료,*강화군민만 이용가능/사용료:15000원 관리비:15000원,30000
묘지,159,군남면공설묘지,사용료,묘지 사용료,이용자격:연천군민 사용기간:15년 3회연장가능,15400
묘지,160,군남면공설묘지,사용료,묘지 관리비,이용자격:연천군민 사용기간:15년 3회연장가능,16300
묘지,161,군산시공설묘지,사용료,공설묘지 사용료,"1기당, 15년",445000
묘지,162,군산시공설묘지,관리비,공설묘지 관리비,"1기당, 15년",55000
묘지,163,금광공설묘지,사용료,묘지사용료,1기당 기본면적 6.6㎡ / 15년,50000
묘지,164,금광공설묘지,관리비,뇨지관리비,1기당 기본면적 6.6㎡ / 15년,50000
묘지,165,금남동공설묘지,사용료,공설묘지 사용료,이용자격:나주시민 사용기간:15년 사용료:3.3m2당 1만원,10000
묘지,166,금릉공원묘원,사용료,묘지 사용료,㎡,560000
묘지,167,금릉공원묘원,관리비,묘지 관리비,"㎡/1년, 15년 선납",5151
묘지,168,재단법인금산공원묘원,사용료,묘지사용료,30년/3.3㎡(평당),900000
묘지,169,재단법인금산공원묘원,관리비,관리비,년/3.3㎡(평당),13000
묘지,170,김해하늘공원(묘지),사용료,사용료,3.3 ㎡기준,1200000
묘지,171,김해하늘공원(묘지),관리비,관리비,3.3㎡/1년기준,15000
묘지,172,파주하늘나라공원,사용료,묘지 사용료,1평당(3.3m2),1521000
묘지,173,파주하늘나라공원,관리비,공동관리비,1평/1년 기준,22100
묘지,174,파주하늘나라공원,기타,합장작업비,1기당,2500000
묘지,175,파주하늘나라공원,기타,분상보수,"소(바닥,활개,전지 별도)",300000
묘지,176,파주하늘나라공원,기타,분상보수,"중(바닥,활개,전지 별도)",400000
묘지,177,파주하늘나라공원,기타,분상보수,"대(바닥,활개,전지 별도)",500000
묘지,178,파주하늘나라공원,기타,분상보수,재래봉분,700000
묘지,179,파주하늘나라공원,기타,묘태재조립,1단특,300000
묘지,180,파주하늘나라공원,기타,묘태재조립,2단B,400000
묘지,181,파주하늘나라공원,기타,묘태재조립,2단A,500000
묘지,182,파주하늘나라공원,기타,묘태재조립,3단,600000
묘지,183,파주하늘나라공원,기타,축대작업비,1제곱미터,800000
묘지,184,파주하늘나라공원,기타,개장작업비,1위,500000
묘지,185,파주하늘나라공원,기타,유골매장비,매장방식에따라 차등 적용,1000000
묘지,186,파주하늘나라공원,기타,봉안안치비,1회,500000
묘지,187,(재)하늘나라공원 포천묘원,사용료,토지사용료(15년 사용),평당,962000
묘지,188,(재)하늘나라공원 포천묘원,기타,시신매장작업비,1기당,1900000
묘지,189,(재)하늘나라공원 포천묘원,기타,유골매장작업비,유골합장1기당,800000
묘지,190,(재)하늘나라공원 포천묘원,기타,분상보수작업비,평당,180000
묘지,191,(재)하늘나라공원 포천묘원,기타,축대작업비,평당,1000000
묘지,192,(재)하늘나라공원 포천묘원,관리비,공동관리비,평당,14700
묘지,193,(재)하늘나라공원 포천묘원,기타,재래식유골매장비,재래식유골합장1기당,1900000
묘지,194,길정리공설묘지,사용료,공설묘지 사용료,*강화군민만 이용가능/사용료:15000원 관리비:15000원,30000
묘지,195,길직1리공설묘지,사용료,공설묘지 사용료,*강화군민만 이용가능/사용료:15000원 관리비:15000원,30000
묘지,196,길직2리공설묘지,사용료,공설묘지 사용료,*강화군민만 이용가능/사용료:15000원 관리비:15000원,30000
묘지,197,김포공원법인묘지(대곶),사용료,"매장묘, 봉안묘",사용료(평당),700000
묘지,198,김포공원법인묘지(대곶),관리비,"매장묘, 봉안묘",1년 관리비(평당),7000
묘지,199,김포공원법인묘지(풍무),사용료,"매장묘, 봉안묘",사용료(평당),700000
묘지,200,김포공원법인묘지(풍무),관리비,"매장묘, 봉안묘",1년 관리비(평당),7000
묘지,201,김해공원묘원,사용료,묘지사용료,1평형기준,830000
묘지,202,김해공원묘원,관리비,묘지관리비,1평형/1년기준,16000
묘지,203,꽃빛공원(와동공설공원묘지),사용료,공설공원묘지/매장,6.6m2 이하(신규매장불가),656000
묘지,204,꽃빛공원(와동공설공원묘지),사용료,공설공원묘지/무연분묘/매장,0.25m2 이하(신규매장불가),108000
묘지,205,꽃빛공원(와동공설공원묘지),사용료,연장신청시/관내/공설공원묘지/매장,6.6m2 이하,656000
묘지,206,꽃빛공원(와동공설공원묘지),사용료,연장신청시/관외/공설공원묘지/매장,6.6m2 이하,1312000
묘지,207,천주교나주성당공원묘지,사용료,공설묘지 사용료,이용자격:나주시민 사용기간:15년 사용료:3.3m2당 1만원,10000
묘지,208,낙원공원묘원,사용료,묘지사용료,평당가,1000000
묘지,209,낙원공원묘원,관리비,묘지관리비,평당가,16000
묘지,210,(재)낙원추모공원,사용료,사용료,1평형 기준,1900000
묘지,211,(재)낙원추모공원,관리비,관리비,1평형/1년 기준,20000
묘지,212,남산리공설묘지,사용료,공설묘지 사용료,*강화군민만 이용가능/사용료:15000원 관리비:15000원,30000
묘지,213,남상공설공원묘지,사용료,공설공원묘지 사용료,이용자격:해당면 주민 사용기간:15년,300000
묘지,214,남상공설공원묘지,관리비,공설공원묘지 관리비,이용자격:해당면 주민 사용기간:15년,200000
묘지,215,화도공설묘지,사용료,묘지사용료(단장),분묘1기당 기준면적(6.6㎡),15400
묘지,216,화도공설묘지,관리비,묘지관리비(단장),분묘1기당 기준면적(6.6㎡),16300
묘지,217,화도공설묘지,사용료,묘지사용료(힙장),분묘1기당 기준면적(9.9㎡),23100
묘지,218,화도공설묘지,관리비,묘지사용료(합장),분묘1기당 기준면적(9.9㎡),24000
묘지,219,수동공설묘지,사용료,묘지사용료(단장),분묘1기당 기준면적(6.6㎡) ,15400
묘지,220,수동공설묘지,관리비,묘지관리비(단장),분묘1기당 기준면적(6.6㎡) ,16300
묘지,221,수동공설묘지,사용료,묘지사용료(단장),분묘1기당 기준면적(9.9㎡) ,23100
묘지,222,수동공설묘지,관리비,묘지관리비(단장),분묘1기당 기준면적(9.9㎡) ,24400
묘지,223,남원읍공설묘지,사용료,공설묘지 사용료,이용자격:제주도민 사용기간:15년 3회연장가능,50000
묘지,224,남평읍공설묘지,사용료,공설묘지 사용료,이용자격:나주시민 사용기간:15년 사용료:3.3m2당 1만원,10000
묘지,225,남한강공원묘원,사용료,묘지사용료,3.3  m2,1318000
묘지,226,남한강공원묘원,관리비,묘지관리비,3.3  m2,15800
묘지,227,남해추모누리 공설종합묘원,사용료,매장묘역 사용료,사용자격:남해군민 사용기간:30년 1회연장가능,860000
묘지,228,남해추모누리 공설종합묘원,관리비,매장묘역 관리비,사용자격:남해군민 사용기간:30년 1회연장가능,600000
묘지,229,남해추모누리 공설종합묘원,기타,매장묘역 석물대,사용자격:남해군민,1460000
묘지,230,내리공설묘지,사용료,공설묘지 사용료(단장),이용자격:옹진군민 사용기간:15년,60000
묘지,231,내리공설묘지,관리비,공설묘지 관리비(단장),이용자격:옹진군민 사용기간:15년,30000
묘지,232,내리공설묘지,사용료,공설묘지 사용료(합장),이용자격:옹진군민 사용기간:15년,90000
묘지,233,내리공설묘지,관리비,공설묘지 관리비(합장),이용자격:옹진군민 사용기간:15년,45000
묘지,234,내리교회묘지,사용료,비조성묘지 사용료,비조성묘지 4.95㎡당,3600
묘지,235,내리교회묘지,관리비,비조성묘지 관리비,비조성묘지 4.95㎡당,17800
묘지,236,넙성리공동묘지,사용료,공설묘지 사용료,*강화군민만 이용가능/사용료:15000원 관리비:15000원,30000
묘지,237,다도면공설묘지,사용료,공설묘지 사용료,이용자격:나주시민 사용기간:15년 사용료:3.3m2당 1만원,10000
묘지,238,다시면공설묘지,사용료,공설묘지 사용료,이용자격:나주시민 사용기간:15년 사용료:3.3m2당 1만원,10000
묘지,239,답곡리 공설묘지,사용료,묘지 사용료,이용자격:연천군민 사용기간:15년 3회연장 가능,187000
묘지,240,답곡리 공설묘지,관리비,묘지 관리비,이용자격:연천군민 사용기간:15년 3회연장 가능,113000
묘지,241,당산리공설묘지,사용료,공설묘지 사용료,*강화군민만 이용가능/사용료:15000원 관리비:15000원,30000
묘지,242,대곡공설묘지,사용료,비조성묘지 사용료,비조성묘지 4.95㎡당,3600
묘지,243,대곡공설묘지,관리비,비조성묘지 관리비,비조성묘지 4.95㎡당,17800
묘지,244,(재)대명공원묘원,사용료,묘지사용료,3.3m2,1100000
묘지,245,(재)대명공원묘원,관리비,묘지관리비,3.3m2,15000
묘지,246,대성공원묘원,사용료,사용료(5평),합장가능 평당 490만원,2450000
묘지,247,대성공원묘원,사용료,사용료(6평),합장가능 평당 49만원,2940000
묘지,248,대성공원묘원,관리비,관리비(5평),합장가능 평당 년 16천원,80000
묘지,249,대성공원묘원,관리비,관리비(6평),합장가능 평당 년 16천원,96000
묘지,250,대전공원묘원,사용료,묘지사용료(6평),"평당1,050,000원",6300000
묘지,251,대전공원묘원,관리비,관리비(6평),"15년× 평당25,000원",2250000
묘지,252,대전추모공원(묘지),사용료,봉안(관내),1구당 / 15년 기한,200000
묘지,253,대전추모공원(묘지),사용료,봉안(관외),1구당 / 15년 기한,400000
묘지,254,대전추모공원(묘지),사용료,묘지(단장 재계약),1기당 / 15년 기한,363000
묘지,255,대전추모공원(묘지),사용료,묘지(합장 재계약),1기당 / 15년 기한,544500
묘지,256,대전추모공원(묘지),사용료,가족묘원(재계약),1기당 / 15년 기한,550000
묘지,257,대전추모공원(묘지),관리비,가족묘원(관리비),1기당 / 5년단위,516000
묘지,258,대정공원묘원,사용료,묘지사용료,1평 기준,510000
묘지,259,대정공원묘원,관리비,묘지관리비,1평 기준 (1년),12000
묘지,260,대정읍공설묘지,사용료,관내(1인), ,50000
묘지,261,대청리공설묘지,사용료,공설묘지 사용료(단장),이용자격:옹진군민 사용기간:15년,60000
묘지,262,대청리공설묘지,관리비,공설묘지 관리비(단장),이용자격:옹진군민 사용기간:15년,30000
묘지,263,대청리공설묘지,사용료,공설묘지 사용료(합장),이용자격:옹진군민 사용기간:15년,90000
묘지,264,대청리공설묘지,관리비,공설묘지 관리비(합장),이용자격:옹진군민 사용기간:15년,45000
묘지,265,대호지공설묘지,사용료,묘지 사용료,이용자격:당진시민 사용기간:15년 3회연장가능,693600
묘지,266,대호지공설묘지,관리비,묘지 관리비,이용자격:당진시민 사용기간:15년 3회연장가능,351200
묘지,267,대호지공설묘지,기타,잔디값,이용자격:당진시민 사용기간:15년 3회연장가능,49600
묘지,268,덕성리공동묘지,사용료,공설묘지 사용료,*강화군민만 이용가능/사용료:15000원 관리비:15000원,30000
묘지,269,영암군덕진공설묘지,사용료,묘지 사용료,1기당 10평방미터,90000
묘지,270,영암군덕진공설묘지,관리비,묘지 관리비,"1기당 10평방미터 , 유효기간은 5년이면 영구적으로 납부시는 15만원",25000
묘지,271,덕포리공설묘지,사용료,공설묘지 사용료,"이용자격 : 강화군민, 15년",15000
묘지,272,덕포리공설묘지,관리비,공설묘지 관리비,"이용자격 : 강화군민, 15년",15000
묘지,273,덕하1리공설묘지,사용료,공설묘지 사용료,*강화군민만 이용가능/사용료:15000원 관리비:15000원,30000
묘지,274,덕하2리공설묘지,사용료,공설묘지 사용료,*강화군민만 이용가능/사용료:15000원 관리비:15000원,30000
묘지,275,도림공설묘지,사용료,비조성묘지 사용료,비조성묘지 4.95㎡당,3600
